Family	Count	Label
Bacteroidaceae	5935	0
Bifidobacteriaceae	3787	1
Eggerthellaceae	1134	2
Lachnospiraceae	1044	3
Porphyromonadaceae	835	4
Coriobacteriaceae	680	5
Ruminococcaceae	477	6
Enterobacteriaceae	445	7
Enterococcaceae	429	8
Lactobacillaceae	421	9
Staphylococcaceae	258	10
Acidaminococcaceae	184	11
Erysipelotrichaceae	72	12
Veillonellaceae	61	13
Streptococcaceae	47	14
Corynebacteriaceae	45	15
Burkholderiaceae	44	15
Odoribacteraceae	44	15
Comamonadaceae	37	15
Peptoniphilaceae	37	15
Desulfovibrionaceae	35	15
Prevotellaceae	30	15
Moraxellaceae	27	15
Sutterellaceae	27	15
Actinomycetaceae	25	15
Bacillaceae 1	22	15
Erysipelatoclostridiaceae	21	15
Pasteurellaceae	19	15
Pseudomonadaceae	18	15
Oxalobacteraceae	16	15
Rikenellaceae	11	15
Atopobiaceae	9	15
Dermacoccaceae	8	15
Akkermansiaceae	6	15
Streptophyta	5	15
Clostridiaceae 1	5	15
Methylobacteriaceae	4	15
Geminicoccaceae	4	15
Bradyrhizobiaceae	3	15
Streptomycetaceae	3	15
Eubacteriaceae	3	15
Chromobacteriaceae	3	15
Flavobacteriaceae	3	15
Micrococcaceae	3	15
Deinococcaceae	3	15
Xanthomonadaceae	2	15
Neisseriaceae	2	15
Planococcaceae	2	15
Muribaculaceae	2	15
Leptotrichiaceae	2	15
Rhodanobacteraceae	2	15
Rhizobiaceae	2	15
Caulobacteraceae	2	15
Nocardiaceae	2	15
Catabacteriaceae	2	15
Acidibacter	1	15
Sphingobacteriaceae	1	15
Microbacteriaceae	1	15
Holophagaceae	1	15
Phyllobacteriaceae	1	15
Sterolibacteriaceae	1	15
Chromatiaceae	1	15
Rhodobacteraceae	1	15
GpI	1	15
Alcaligenaceae	1	15
Aerococcaceae	1	15
Lawsonellaceae	1	15
Nitrososphaera	1	15
Geodermatophilaceae	1	15
WPS-1_genera_incertae_sedis	1	15
Fusobacteriaceae	1	15
Gemmatimonadaceae	1	15
Peptostreptococcaceae	1	15
Xanthobacteraceae	1	15
Sphingomonadaceae	1	15
Acetobacteraceae	1	15
Clostridiales_Incertae Sedis XII	1	15
Hymenobacteraceae	1	15
Bacillales_Incertae Sedis XI	1	15
Burkholderiales_incertae_sedis	1	15
Gordoniaceae	1	15
Carnobacteriaceae	1	15
Clostridiales_Incertae Sedis XIII	1	15
Rhodocyclaceae	1	15
